s__Bacteroides_dorei_read000001	gi|423242213|ref|NZ_JH724160.1|:185833-186759|357276|g__Bacteroides.s__Bacteroides_dorei|UniRef90_R7NX76|UniRef50_R5GDB8|927	98.0	100.0							0	
s__Bacteroides_dorei_read000002	gi|423245752|ref|NZ_JH724135.1|:381614-382081|357276|g__Bacteroides.s__Bacteroides_dorei|UniRef90_A6L5K0|UniRef50_A6L5K0|468	99.0	100.0							0	
s__Bacteroides_dorei_read000003	gi|423238261|ref|NZ_JH724153.1|:187959-189296|357276|g__Bacteroides.s__Bacteroides_dorei|UniRef90_A6L5D4|UniRef50_C6X591|1338	96.0	100.0							0	
s__Bacteroides_dorei_read000004	gi|294777006|ref|NZ_ADKO01000074.1|:c27580-26633|821|g__Bacteroides.s__Bacteroides_vulgatus|UniRef90_A6L7A5|UniRef50_R7NQK6|948	98.0	100.0							0	
s__Bacteroides_dorei_read000005	gi|423245752|ref|NZ_JH724135.1|:297336-298682|357276|g__Bacteroides.s__Bacteroides_dorei|UniRef90_A6L5C5|UniRef50_R6HHA5|1347	96.0	100.0							0	
s__Bacteroides_dorei_read000006	gi|423231083|ref|NZ_JH724113.1|:c774054-771490|357276|g__Bacteroides.s__Bacteroides_dorei|UniRef90_unknown|UniRef50_D5EYI2|2565	97.0	100.0							0	
s__Bacteroides_dorei_read000007	gi|150002608|ref|NC_009614.1|:c721374-719683|821|g__Bacteroides.s__Bacteroides_vulgatus|UniRef90_R7P3C8|UniRef50_X5DCD9|1692	97.0	100.0							0	
s__Bacteroides_dorei_read000009	gi|423227774|ref|NZ_JH724110.1|:782275-785145|357276|g__Bacteroides.s__Bacteroides_dorei|UniRef90_unknown|UniRef50_R7DSH7|2871	96.0	100.0							0	
s__Bacteroides_dorei_read000012	gi|423227774|ref|NZ_JH724110.1|:c1276847-1276389|357276|g__Bacteroides.s__Bacteroides_dorei|UniRef90_R6HWU5|UniRef50_R5JSB1|459	98.0	100.0							0	
s__Bacteroides_dorei_read000013	gi|423227774|ref|NZ_JH724110.1|:c157707-156019|357276|g__Bacteroides.s__Bacteroides_dorei|UniRef90_R6AN66|UniRef50_P9WQK2|1689	99.0	100.0							0	
s__Bacteroides_dorei_read000014	gi|423240537|ref|NZ_JH724155.1|:c415325-414945|357276|g__Bacteroides.s__Bacteroides_dorei|UniRef90_G1ULE2|UniRef50_G1ULE2|381	89.0	100.0							0	
s__Bacteroides_dorei_read000015	gi|294777241|ref|NZ_ADKO01000077.1|:9719-11032|821|g__Bacteroides.s__Bacteroides_vulgatus|UniRef90_D4V9L8|UniRef50_D4V9L8|1314	97.0	100.0							0	
s__Bacteroides_dorei_read000017	gi|423242718|ref|NZ_JH724132.1|:483837-485189|357276|g__Bacteroides.s__Bacteroides_dorei|UniRef90_R6HKR7|UniRef50_R5PGW4|1353	97.0	100.0							0	
s__Bacteroides_dorei_read000019	gi|423228953|ref|NZ_JH724111.1|:c1330541-1328685|357276|g__Bacteroides.s__Bacteroides_dorei|UniRef90_A6KX31|UniRef50_A6KX31|1857	97.0	100.0							0	
s__Bacteroides_dorei_read000020	gi|423227774|ref|NZ_JH724110.1|:c193686-191677|357276|g__Bacteroides.s__Bacteroides_dorei|UniRef90_R6HTN5|UniRef50_R6HTN5|2010	96.0	100.0							0	
s__Bacteroides_dorei_read000021	gi|423242718|ref|NZ_JH724132.1|:c541272-539113|357276|g__Bacteroides.s__Bacteroides_dorei|UniRef90_A6L3U5|UniRef50_G8ULE1|2160	97.0	100.0							0	
s__Bacteroides_dorei_read000022	gi|423228953|ref|NZ_JH724111.1|:1111660-1113528|357276|g__Bacteroides.s__Bacteroides_dorei|UniRef90_A6KXH3|UniRef50_A6KXH3|1869	100.0	100.0							0	
s__Bacteroides_dorei_read000024	gi|423230134|ref|NZ_JH724112.1|:c696400-694691|357276|g__Bacteroides.s__Bacteroides_dorei|UniRef90_R6IFH9|UniRef50_R6IFH9|1710	94.0	100.0							0	
